AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Cosimo I de' Medici,1537,"Oil on panel, 48 x 31 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/p/pontormo/3/15cosimo.html,painting,portrait,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Venus and Cupid,1532-34,"Oil on wood, 128 x 197 cm","Galleria degli Uffizi, Florence",https://www.wga.hu/html/p/pontormo/3/15venus.html,painting,mythological,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Giovanni della Casa,1542-46,"Oil on panel, 102 x 79 cm","National Gallery of Art, Washington",https://www.wga.hu/html/p/pontormo/3/16casa.html,painting,portrait,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",View of the Capponi Chapel,c. 1528,-,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/0view.html,painting,interior,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Deposition,c. 1528,"Oil on wood, 313 x 192 cm","Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/1depos.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Deposition,c. 1528,"Oil on wood, 313 x 192 cm","Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/1deposa.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Deposition,c. 1528,"Oil on wood, 313 x 192 cm","Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/1deposi.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Deposition (detail),c. 1528,Oil on wood,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/1deposi0.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Deposition (detail),c. 1528,Oil on wood,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/1deposi1.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Deposition (detail),c. 1528,Oil on wood,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/1deposi2.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Deposition (detail),c. 1528,Oil on wood,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/1deposi3.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Deposition (detail),c. 1528,Oil on wood,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/1deposi4.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Annunciation,1527-28,"Fresco, 368 x 168 cm","Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/2annunc.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Annunciation (detail),1527-28,Fresco,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/2annunc1.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",Annunciation (detail),1527-28,Fresco,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/2annunc2.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",St John the Evangelist,c. 1525,Oil on wood,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/3tondo1.html,painting,religious,Italian,1501-1550
"PONTORMO, Jacopo","(b. 1494, Pontormo, d. 1557, Firenze)",St Luke,c. 1525,Oil on wood,"Cappella Capponi, Santa Felicit_, Florence",https://www.wga.hu/html/p/pontormo/4capponi/3tondo2.html,painting,religious,Italian,1501-1550
