AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"UDEN, Lucas van","(b. 1595, Antwerpen, d. 1672, Antwerpen)","Summer Landscape, Haying",-,Oil on Panel,"Comtadin-Duplessis Museum, Carpentras",https://www.wga.hu/html/u/uden/summerla.html,painting,landscape,Flemish,1601-1650
"UDEN, Lucas van","(b. 1595, Antwerpen, d. 1672, Antwerpen)",Winter Landscape with Hunters,-,"Oil on canvas, 41 x 66 cm",Private collection,https://www.wga.hu/html/u/uden/winterla.html,painting,landscape,Flemish,1601-1650
"UDEN, Lucas van","(b. 1595, Antwerpen, d. 1672, Antwerpen)",Wooded Landscape,1648,"Oil on panel, 74 x 80 cm",Private collection,https://www.wga.hu/html/u/uden/woodedla.html,painting,landscape,Flemish,1601-1650
"ULFT, Jacob van der","(b. 1627, Gorinchem, d. 1689, Nordwijk)",Antique Forum with a Triumphal Procession,1670s,"Oil on oak, 39,5 x 61,3 cm","Wallraf-Richartz-Museum, Cologne",https://www.wga.hu/html/u/ulft/antique.html,painting,landscape,Dutch,1651-1700
"UNKNOWN MASTER, Italian",(first quarter of 14th century),Castle on a Hill,1300-25,Fresco,"Palazzo Pubblico, Siena",https://www.wga.hu/html/m/master/xunk_it/xunk_it2/05castle.html,painting,landscape,Italian,1301-1350
"UNKNOWN MASTER, Italian",(active 1480s in Genoa),View of Genoa,1482,Panel,"Museo Navale Pegli, Genoa",https://www.wga.hu/html/m/master/xunk_it/xunk_it3/viewgeno.html,painting,landscape,Italian,1451-1500
"UNKNOWN MASTER, Italian",(active 1605-1630 in Florence),View of the Piazza Signoria with Fireworks on St John's Day,1605-30,"Detached fresco, 193 x 229 cm","Museo di San Marco, Florence",https://www.wga.hu/html/m/master/xunk_it/xunk_it5/firework.html,painting,landscape,Italian,1601-1650
"UNKNOWN MASTER, Italian",(active 1790s in Florence),View of the Pantheon in Rome,1790s,"Hard stone inlay, 32 x 20 cm","Museo dell'Opificio delle Pietre Dure, Florence",https://www.wga.hu/html/m/master/xunk_it/xunk_it8/z_rome.html,mosaic,landscape,Italian,1751-1800
"UNKNOWN MASTER, Netherlandish",(active 1580-1600),The Pelkus Gate near Utrecht,1580-1600,"Pen and brown ink, 234 x 174 mm","Gemeentearchief, Utrecht",https://www.wga.hu/html/m/master/zunk_du/3/utrecht.html,graphics,landscape,Netherlandish,1551-1600
"UNTERBERGER, Franz-Richard","(b. 1838, Innsbruck, d. 1902, Neuilly-sur-Seine)",View of the Amalfi Coast,-,"Oil on canvas, 83 x 71 cm",Private collection,https://www.wga.hu/html/u/unterbex/amalfi.html,painting,landscape,Austrian,1851-1900
