AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, K_benhavn)",Deer beside a Lake,1888,"Oil on canvas, 53 x 82 cm",Private collection,https://www.wga.hu/html/a/aagaard/deerlake.html,painting,landscape,Danish,1851-1900
"AAGAARD, Carl Frederik","(b. 1833, Odense, d. 1895, K_benhavn)",The Rose Garden,1877,"Oil on canvas, 98 x 80 cm",Private collection,https://www.wga.hu/html/a/aagaard/rosegard.html,painting,landscape,Danish,1851-1900
"ABBATE, Niccol_ dell'","(b. 1509, Modena, d. 1571, Fontainebleau)",Stag Hunt,1550-52,"Oil on canvas, 116 x 159 cm","Galleria Borghese, Rome",https://www.wga.hu/html/a/abbate/deerhunt.html,painting,landscape,Italian,1501-1550
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Landscape at Castiglioncello,1863,"Oil on panel, 10 x 30 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati1.html,painting,landscape,Italian,1851-1900
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Country Road with Cypresses,c. 1860,"Oil on canvas, 28 x 37 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati2.html,painting,landscape,Italian,1851-1900
"ABBATI, Giuseppe","(b. 1836, Napoli, d. 1868, Firenze)",Cloister,1861-62,"Oil on cardboard, 19 x 25 cm","Galleria dell'Arte Moderna, Palazzo Pitti, Florence",https://www.wga.hu/html/a/abbati/abbati3.html,painting,landscape,Italian,1851-1900
"ACHENBACH, Oswald","(b. 1827, DÅsseldorf, d. 1905, DÅsseldorf)",Fireworks in Naples,1875,"Oil on canvas, 66 x 102 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/achenbac/firework.html,painting,landscape,German,1851-1900
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",The Ninth Wave,1850,"Oil on canvas, 221 _ 332 cm","State Russian Museum, St. Petersburg",https://www.wga.hu/html/a/aivazovs/9th_wave.html,painting,landscape,Russian,1851-1900
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",A Strong Wind,1856,"Pencil and gouache on paper, 230 x 327 mm",Private collection,https://www.wga.hu/html/a/aivazovs/astrong.html,graphics,landscape,Russian,1851-1900
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",Shipwreck,1856,"Pencil and gouache on paper, 230 x 327 mm",Private collection,https://www.wga.hu/html/a/aivazovs/shipwrec.html,graphics,landscape,Russian,1851-1900
"AIVAZOVSKY, Ivan Konstantinovich","(b. 1817, Feodosiya, d. 1900, Feodosiya)",Ship in the Stormy Sea,1887,"Oil on canvas, 63 x 97 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/aivazovs/stormy.html,painting,landscape,Russian,1851-1900
"ALBOTTO, Francesco","(b. 1721, Venezia, d. 1757, Venezia)",View of Campo Santi Giovanni e Paolo,c. 1745,"Oil on canvas, 61 x 97 cm","Museo Nazionale di Capodimonte, Naples",https://www.wga.hu/html/a/albotto/campo.html,painting,landscape,Italian,1701-1750
"ALBOTTO, Francesco","(b. 1721, Venezia, d. 1757, Venezia)",San Giuseppe di Castello,c. 1745,"Oil on canvas, 59,5 x 97 cm",Private collection,https://www.wga.hu/html/a/albotto/giuseppe.html,painting,landscape,Italian,1701-1750
"ALEKSEYEV, Fyodor Yakovlevich","(b. ca. 1753, St. Petersburg, d. 1824, St. Petersburg)",View of the Resurrection Gate and Neglinny Bridge from Tverskaya Street,1800-10,"Watercolour, Indian ink, gouache and lead pencil, 545 x 315 mm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/alekseye/view_mos.html,graphics,landscape,Russian,1751-1800
"ALEKSEYEV, Fyodor Yakovlevich","(b. ca. 1753, St. Petersburg, d. 1824, St. Petersburg)",View of St. Petersburg,c. 1795,"Oil on canvas, 62 x 101 cm","State Tretyakov Gallery, Moscow",https://www.wga.hu/html/a/alekseye/view_stp.html,painting,landscape,Russian,1751-1800
"ALLEGRAIN, Etienne","(b. 1644, Paris, d. 1736, Paris)",Landscape with the Finding of Moses,-,"Oil on canvas, 88 x 115 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/allegrai/etienne/landmose.html,painting,landscape,French,1651-1700
"ALLEGRAIN, Etienne","(b. 1644, Paris, d. 1736, Paris)",River Landscape,-,Oil on canvas : 118 x 92 cm,"Mus_e National du Chüteau, Versailles",https://www.wga.hu/html/a/allegrai/etienne/riverla1.html,painting,landscape,French,1651-1700
"ALLEGRAIN, Etienne","(b. 1644, Paris, d. 1736, Paris)",River Landscape,-,Oil on canvas : 86 x 136 cm,"Mus_e du Louvre, Paris",https://www.wga.hu/html/a/allegrai/etienne/riverla2.html,painting,landscape,French,1651-1700
"ALSLOOT, Denis van","(b. 1570, Bruxelles, d. 1626, Bruxelles)",Extensive Wooded Landscape with Cephalus and Procris,-,"Oil on copper, 26 x 33 cm",Private collection,https://www.wga.hu/html/a/alsloot/extensiv.html,painting,landscape,Flemish,1601-1650
"ALSLOOT, Denis van","(b. 1570, Bruxelles, d. 1626, Bruxelles)",Skating during Carnival,c. 1620,"Oil on panel, 57 x 100 cm","Museo del Prado, Madrid",https://www.wga.hu/html/a/alsloot/skating.html,painting,landscape,Flemish,1601-1650
"ALSLOOT, Denis van","(b. 1570, Bruxelles, d. 1626, Bruxelles)",Winter Landscape,1610,"Oil on wood, 36 x 47 cm","Mus_e du Louvre, Paris",https://www.wga.hu/html/a/alsloot/winter_l.html,painting,landscape,Flemish,1601-1650
"ALSLOOT, Denis van","(b. 1570, Bruxelles, d. 1626, Bruxelles)","Winter Landscape in the F_ret de Soignes, with the Flight Into Egypt",c. 1616,"Oil on oak panel, 49 x 67 cm",Private collection,https://www.wga.hu/html/a/alsloot/winterla.html,painting,landscape,Flemish,1601-1650
"ALT, Rudolf von","(b. 1812, Wien, d. 1905, Wien)",View of Vienna from the Prater,1834,"Watercolour and gum arabic on paper, 285 x 401 mm",Private collection,https://www.wga.hu/html/a/alt/viewvien.html,painting,landscape,Austrian,1801-1850
"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Landscape with Satyr Family,1507,"Panel, 23 x 20 cm","Staatliche Museen, Berlin",https://www.wga.hu/html/a/altdorfe/1/1satyr.html,painting,landscape,German,1501-1550
"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Landscape with Path,c. 1518,"Parchment and wood, 42 x 35,5 cm","National Gallery, London",https://www.wga.hu/html/a/altdorfe/1/2landsca.html,painting,landscape,German,1501-1550
"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Danubian Landscape,1520-25,"Parchment on wood, 30 x 22 cm","Alte Pinakothek, Munich",https://www.wga.hu/html/a/altdorfe/1/3danube.html,painting,landscape,German,1501-1550
"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Landscape,-,Etching,"Graphische Sammlung Albertina, Vienna",https://www.wga.hu/html/a/altdorfe/4/landscap.html,graphics,landscape,German,1501-1550
"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",Large Fir,1512-22,"Etching with watercolour, 225 x 170 mm","Kunstsammlungen der Veste Coburg, Coburg",https://www.wga.hu/html/a/altdorfe/4/largefir.html,graphics,landscape,German,1501-1550
"ANDERSON, William","(b. 1757, Scotland, d. 1837, London)",An English 3rd-Rate Ship of the Line in Three Positions,-,"Oil on canvas, 84 x 130 cm",Private collection,https://www.wga.hu/html/a/anderson/rateship.html,painting,landscape,Scottish,1801-1850
"ANDERSON, William","(b. 1757, Scotland, d. 1837, London)",Shipping in a Calm Sea off the Coast,1803,"Oil on oak panel, 22 x 30 cm",Private collection,https://www.wga.hu/html/a/anderson/shipcalm.html,painting,landscape,Scottish,1801-1850
"ANDERSON, William","(b. 1757, Scotland, d. 1837, London)",Shipping on the Thames off Deptford,c. 1825,"Oil on panel, 32 x 43 cm","National Maritime Museum, Greenwich",https://www.wga.hu/html/a/anderson/shipping.html,painting,landscape,Scottish,1801-1850
"ANDREESCU, Ion","(b. 1850, Bucureıti, d. 1882, Bucureıti)",Edge of the Forest,c. 1880,"Oil on canvas, 61 x 51 cm","Muzeul National de Arta, Bucharest",https://www.wga.hu/html/a/andreesc/forest.html,painting,landscape,Other,1851-1900
"ANDREESCU, Ion","(b. 1850, Bucureıti, d. 1882, Bucureıti)",Winter at Barbizon,1881,"Oil on canvas, 54 x 65 cm","Muzeul K.H. Zambaccian, Bucharest",https://www.wga.hu/html/a/andreesc/winter.html,painting,landscape,Other,1851-1900
"ANDRIESSEN, Jurriaan","(b. 1742, Amsterdam, d. 1819, Amsterdam)",Arcadian Landscape,1780s,"Oil on canvas, 196 x 113 cm",Private collection,https://www.wga.hu/html/a/andriess/arcadia1.html,painting,landscape,Dutch,1751-1800
"ANDRIESSEN, Jurriaan","(b. 1742, Amsterdam, d. 1819, Amsterdam)",Arcadian Landscape,1780s,"Oil on canvas, 194 x 89 cm",Private collection,https://www.wga.hu/html/a/andriess/arcadia2.html,painting,landscape,Dutch,1751-1800
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",An Extensive Landscape,1751-55,"Oil on canvas, 130 x 97 cm",Private collection,https://www.wga.hu/html/a/anesi/landsca1.html,painting,landscape,Italian,1701-1750
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",An Extensive Landscape,1751-55,"Oil on canvas, 130 x 97 cm",Private collection,https://www.wga.hu/html/a/anesi/landsca2.html,painting,landscape,Italian,1701-1750
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",Italianate Coastal Landscape,-,"Oil on copper, 21 x 30 cm",Private collection,https://www.wga.hu/html/a/anesi/landsca3.html,painting,landscape,Italian,1701-1750
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",Tiber Bridge in Rome,-,Oil on canvas,Private collection,https://www.wga.hu/html/a/anesi/rome.html,painting,landscape,Italian,1701-1750
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",View of the Roman Campagna,-,"Oil on canvas, 18 x 23 cm",Private collection,https://www.wga.hu/html/a/anesi/rome1.html,painting,landscape,Italian,1701-1750
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",Harbour Scene,-,"Oil on canvas, 37 x 47 cm",Private collection,https://www.wga.hu/html/a/anesi/scene.html,painting,landscape,Italian,1701-1750
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",View of Tivoli and the Roman Campagna,-,"Oil on canvas, 18 x 23 cm",Private collection,https://www.wga.hu/html/a/anesi/tivoli.html,painting,landscape,Italian,1701-1750
ANGELUCCIO,"(b. ca. 1620, Roma, d. ca. 1650, Roma)",Rural Scene,1640s,"Oil on canvas, 130 x 97 cm","Galleria Nazionale d'Arte Antica, Rome",https://www.wga.hu/html/a/angelucc/rural_sc.html,painting,landscape,Italian,1601-1650
"ANGRAND, Charles","(b. 1854, Criquetot-sur-Ouville, d. 1926, Rouen)",The Western Railway Leaving Paris,1886,"Oil on canvas, 75 x 92 cm",Private collection,https://www.wga.hu/html/a/angrand/railway.html,painting,landscape,French,1851-1900
ANQUETIN. Louis,"(b. 1861, êtr_pagny, nr Gisors, d. 1932, Paris)",Avenue de Clichy - Five O'Clock in the Evening,1887,"Oil on canvas, 69 x 54 cm","Wadsworth Atheneum, Hartford",https://www.wga.hu/html/a/anquetin/clichy.html,painting,landscape,French,1851-1900
"APSHOVEN, Thomas van","(b. ca. 1622, Antwerpen, d. ca. 1665, Antwerpen)",Landscape with a Musician,-,"Oil on panel, 49 x 66 cm",Private collection,https://www.wga.hu/html/a/apshoven/landscap.html,painting,landscape,Flemish,1651-1700
"ARENTSZ., Arent","(b. ca. 1585, Amsterdam, d. 1631, Amsterdam)",Fishermen and Farmers in a Landscape,-,"Oil on panel, 27 x 52 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/a/arentsz/landscap.html,painting,landscape,Dutch,1601-1650
"ARTHOIS, Jacques d'","(b. 1613, Bruxelles, d. 1686, Bruxelles)",Edge of a Wood,-,"Oil on canvas, 57 x 75 cm","Mus_e du Louvre, Paris",https://www.wga.hu/html/a/arthois/edgewood.html,painting,landscape,Flemish,1651-1700
"ARTHOIS, Jacques d'","(b. 1613, Bruxelles, d. 1686, Bruxelles)",An Extensive Wooded Landscape with Travellers on a Path,-,"Oil on canvas, 75 x 96 cm",Private collection,https://www.wga.hu/html/a/arthois/extensiv.html,painting,landscape,Flemish,1651-1700
"ARTHOIS, Jacques d'","(b. 1613, Bruxelles, d. 1686, Bruxelles)",Landscape with a Herd,1630-50,"Oil on canvas, 115 x 146 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/arthois/landherd.html,painting,landscape,Flemish,1651-1700
"ARTHOIS, Jacques d'","(b. 1613, Bruxelles, d. 1686, Bruxelles)",Wooded Landscape,-,"Oil on canvas, 101 x 144 cm",Private collection,https://www.wga.hu/html/a/arthois/landscap.html,painting,landscape,Flemish,1651-1700
"ARTHOIS, Jacques d'","(b. 1613, Bruxelles, d. 1686, Bruxelles)",Wooded Landscape,-,"Oil on canvas, 88 x 124 cm",Private collection,https://www.wga.hu/html/a/arthois/woodedla.html,painting,landscape,Flemish,1651-1700
"ASCH, Pieter Jansz. van","(b. 1603, Delft, d. 1678, Delft)",The Delft City Wall with the Houttuinen,c. 1650,"Oil on canvas, 53 x 76 cm",Private collection,https://www.wga.hu/html/a/asch/citywall.html,painting,landscape,Dutch,1601-1650
"ASCH, Pieter Jansz. van","(b. 1603, Delft, d. 1678, Delft)",Landscape,1635-41,"Black chalk on vellum, 110 x 155 m","Fogg Art Museum, Harvard University, Cambridge",https://www.wga.hu/html/a/asch/landscap.html,graphics,landscape,Dutch,1601-1650
"ASCH, Pieter Jansz. van","(b. 1603, Delft, d. 1678, Delft)",River Landscape,c. 1640,"Oil on panel, 27 x 40 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/a/asch/river_la.html,painting,landscape,Dutch,1601-1650
"ASHFORD, William","(b. ca. 1746, Birmingham, d. 1824, Dublin)",View of Killarney,1778,"Oil on canvas, 69 x 99 cm",Private collection,https://www.wga.hu/html/a/ashford/kilarney.html,painting,landscape,Irish,1751-1800
"ASHFORD, William","(b. ca. 1746, Birmingham, d. 1824, Dublin)",A View of Killarney with the Passage to the Upper Lake,c. 1779,"Oil on canvas, 97 x 126 cm",Private collection,https://www.wga.hu/html/a/ashford/killarn1.html,painting,landscape,Irish,1751-1800
"ASSCHE, Henri van","(b. 1774, Bruxelles, d. 1841, Bruxelles)",River in the Ardennes at Sunset,1821,"Oil on panel, 138 x 120 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/a/assche/riverard.html,painting,landscape,Belgian,1801-1850
"ASSCHE, Henri van","(b. 1774, Bruxelles, d. 1841, Bruxelles)",Landscape with Waterfall and Farm,1806,Oil on panel,Private collection,https://www.wga.hu/html/a/assche/waterfal.html,painting,landscape,Belgian,1801-1850
"ASSCHE, Henri van","(b. 1774, Bruxelles, d. 1841, Bruxelles)",Winter Landscape,1814,"Oil on panel, 31 x 41 cm",Private collection,https://www.wga.hu/html/a/assche/winterla.html,painting,landscape,Belgian,1801-1850
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Italian Landscape with the Ruins of a Roman Bridge and Aqueduct,-,"Oil on canvas, 67 x 82 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/a/asselyn/aqueduct.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",The Breach of the Sint Anthonisdijk,1651,"Oil on canvas, 86 x 108 cm",Private collection,https://www.wga.hu/html/a/asselyn/breach.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Coastal Scene with Resting Riders,c. 1652,"Oil on canvas, 71 x 96 cm","Akademie der bildenden KÅnste, Vienna",https://www.wga.hu/html/a/asselyn/coastal.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Coastal Scene with Resting Riders (detail),c. 1652,Oil on canvas,"Akademie der bildenden KÅnste, Vienna",https://www.wga.hu/html/a/asselyn/coastal1.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Italianate Landscape with a River and an Arched Bridge,c. 1648,Oil on canvas,"Staatsgalerie, Schleissheim",https://www.wga.hu/html/a/asselyn/italiana.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Italianate Landscape with Peasants and Animals Fording a River,1640-45,"Oil on oak panel, 41 x 49 cm",Private collection,https://www.wga.hu/html/a/asselyn/italianb.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Landscape with Ruins and Hunting Party,c. 1645,"Oil on canvas, 47 x 61 cm","Akademie der bildenden KÅnste, Vienna",https://www.wga.hu/html/a/asselyn/landsca1.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Mountainous Landscape with Traveling Herdsmen,1647-48,"Oil on wood, 43 x 67 cm","Akademie der bildenden KÅnste, Vienna",https://www.wga.hu/html/a/asselyn/landsca2.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",Italian Landscape with SS. Giovanni e Paolo in Rome,-,"Oil on canvas, 67 x 80 cm","Sz_pm_v_szeti Múzeum, Budapest",https://www.wga.hu/html/a/asselyn/landscap.html,painting,landscape,Dutch,1601-1650
"ASSELYN, Jan","(b. ca. 1610, Dieppe, d. 1652, Amsterdam)",River Bank with Herdsmen,c. 1650,"Oil on panel, 43 x 67 cm","Akademie der bildenden KÅnste, Vienna",https://www.wga.hu/html/a/asselyn/riverban.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Barend","(b. ca. 1612, Kampen, d. 1679, Kampen)",Landscape with Frozen River,c. 1655,"Oil on oak, 19 x 31 cm","Staatliche Museen, Berlin",https://www.wga.hu/html/a/avercamp/barend/landscap.html,painting,landscape,Dutch,1651-1700
"AVERCAMP, Barend","(b. ca. 1612, Kampen, d. 1679, Kampen)",Winter Landscape,-,"Oil on beveled panel, with added strip across the top, 31 x 43 cm",Private collection,https://www.wga.hu/html/a/avercamp/barend/winterla.html,painting,landscape,Dutch,1651-1700
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Ice Landscape,-,Oil on panel,"Staatliches Museum, Schwerin",https://www.wga.hu/html/a/avercamp/hendrick/ice_land.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Ice Scene,-,Oil on panel,"Rijksmuseum Kr_ller-MÅller, Otterlo",https://www.wga.hu/html/a/avercamp/hendrick/ice_scen.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Ice Scene,c. 1610,"Oil on panel, 36 x 71 cm","Mauritshuis, The Hague",https://www.wga.hu/html/a/avercamp/hendrick/icescene.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",A Panoramic Winter Landscape,c. 1610,"Oil on oak panel, 69 x 109 cm",Private collection,https://www.wga.hu/html/a/avercamp/hendrick/panorami.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",River Landscape,-,"Pen drawing and watercolour on paper, 184 x 284 mm","Mus_es Royaux des Beaux-Arts, Brussels",https://www.wga.hu/html/a/avercamp/hendrick/riverlan.html,graphics,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",A Scene on the Ice near a Town,c. 1615,"Oil on wood, 58 x 90 cm","National Gallery, London",https://www.wga.hu/html/a/avercamp/hendrick/scene_ic.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Landscape with Skaters,c. 1608,"Oil on wood, 78 x 132 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/a/avercamp/hendrick/scenewin.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Landscape with Skaters (detail),c. 1608,Oil on wood,"Rijksmuseum, Amsterdam",https://www.wga.hu/html/a/avercamp/hendrick/scenewix.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Skaters,-,"Oil on wood, 24 x 38 cm","Pushkin Museum, Moscow",https://www.wga.hu/html/a/avercamp/hendrick/skaters.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Landscape (detail),-,Oil on panel,"Pinacoteca Ambrosiana, Milan",https://www.wga.hu/html/a/avercamp/hendrick/winter_l.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Landscape,-,"Oil on panel, 31 x 53 cm",Private collection,https://www.wga.hu/html/a/avercamp/hendrick/winter_m.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Scene on a Canal,-,Oil on wood,"Toledo Museum of Art, Toledo, Ohio",https://www.wga.hu/html/a/avercamp/hendrick/winter_s.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Landscape,-,"Oil on wood, 29,4 x 46,4 cm","Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/avercamp/hendrick/winterla.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Landscape,1605-10,"Oil on oak, 25 x 34 cm","Wallraf-Richartz-Museum, Cologne",https://www.wga.hu/html/a/avercamp/hendrick/winterln.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Scene,1610s,"Oil on panel, 24 x 31 cm",Private collection,https://www.wga.hu/html/a/avercamp/hendrick/winters.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Scene (detail),1610s,Oil on panel,Private collection,https://www.wga.hu/html/a/avercamp/hendrick/winters1.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Winter Scene at Yselmuiden,c. 1613,"Oil on panel, 47 x 73 cm","Mus_e d'Art et d'Histoire, Geneva",https://www.wga.hu/html/a/avercamp/hendrick/wintersc.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Frozen River with Skaters,1610-15,"Oil on oak panel, diameter 31 cm","Sz_pm_v_szeti Múzeum, Budapest",https://www.wga.hu/html/a/avercamp/hendrick/wskaters.html,painting,landscape,Dutch,1601-1650
"AVERCAMP, Hendrick","(b. 1585, Amsterdam, d. 1634, Kampen)",Fishermen by Moonlight,1620s,"Pen and brush, 144 x 195 mm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/a/avercamp/hendrick/z_moon.html,graphics,landscape,Dutch,1601-1650
"AZEGLIO, Massimo Taparelli, Marquis d'","(b. 1798, Torino, d. 1866, Torino)",Arabs on Horseback,c. 1840,"Oil on metal plate, 29 x 42 cm","Galleria Palatina (Palazzo Pitti), Florence",https://www.wga.hu/html/a/azeglio/arabs.html,painting,landscape,Italian,1801-1850
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Ships in Distress off a Rocky Coast,1667,Oil on canvas,"National Gallery of Art, Washington",https://www.wga.hu/html/b/backhuys/distress.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Ships in Distress in a Raging Storm,c. 1690,"Oil on canvas, 150 x 227 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/b/backhuys/ragstorm.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Shipping by the Dutch Coast,-,"Oil on canvas, 48 x 62 cm",Private collection,https://www.wga.hu/html/b/backhuys/shipping.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Small Dutch Vessels,-,"Oil on canvas, 73 x 100 cm",Private collection,https://www.wga.hu/html/b/backhuys/smalldut.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Ships in a Stiff Breeze,1688-92,"Oil on canvas, 45 x 62 cm",Private collection,https://www.wga.hu/html/b/backhuys/stiffbre.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Ships Running Aground in a Storm,1690s,"Oil on canvas, 173,5 x 341 cm","Mus_es Royaux des Beaux-Arts, Brussels",https://www.wga.hu/html/b/backhuys/storm.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Fishing Boats and Coasting Vessel in Rough Weather,1660-63,"Oil on canvas, 46 x 66 cm","Mus_e du Louvre, Paris",https://www.wga.hu/html/b/backhuys/the_gale.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Dutch Vessels on the Sea at Amsterdam,c. 1708,"Oil on canvas, 66 x 80 cm","Mus_e du Louvre, Paris",https://www.wga.hu/html/b/backhuys/vessel.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Dutch Coastal Vessels,1704,"Oil on canvas, 64 x 77 cm",Private collection,https://www.wga.hu/html/b/backhuys/vessels.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",Dutch Vessels off a Coastline on a Breezy Day,c. 1680,"Oil on canvas, 98 x 135 cm",Private collection,https://www.wga.hu/html/b/backhuys/vessels1.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",View of Amsterdam with Ships on the Ij,1666,"Oil on canvas, 128 x 221 cm","Mus_e du Louvre, Paris",https://www.wga.hu/html/b/backhuys/view_ams.html,painting,landscape,Dutch,1651-1700
"BACKHUYSEN, Ludolf","(b. 1630, Emden, d. 1708, Amsterdam)",View from the Mussel Pier in Amsterdam,1673,Oil on canvas,"Rijksmuseum, Amsterdam",https://www.wga.hu/html/b/backhuys/view_mus.html,painting,landscape,Dutch,1651-1700
